entity_or_relationship,kind,key_properties,business_meaning,observed_by_bank_a,used_in_detection
DRCustomer,node,"customerId,name,customerType","Khách hàng cá nhân hoặc doanh nghiệp",yes,yes
DRAccount,node,"accountId,bankCode,isInternal,observationScope","Tài khoản tại Bank A hoặc tài khoản đối tác ngoài Bank A",partial,yes
DRLoan,node,"loanId,loanRole,productType,status","Khoản vay cũ hoặc khoản vay mới",yes,yes
DRTransfer,node,"transferId,eventTime,amount,observedByBankA,referenceText","Một giao dịch chuyển tiền quan sát được; referenceText chỉ để điều tra",yes,yes_except_referenceText
DRRepayment,node,"repaymentId,eventTime,amount,repaymentType","Sự kiện thu nợ gốc hoặc tất toán",yes,yes
DRDisbursement,node,"disbursementId,eventTime,amount","Sự kiện giải ngân mới",yes,yes
DRBalanceSnapshot,node,"snapshotId,asOf,availableBalance","Số dư khả dụng ngay trước cụm tiền hỗ trợ",yes,yes
DRDetectedChain,node,"chainId,chainLevel,supportAmount,returnAmount","Chuỗi Mức 1-3 được tạo bởi query phát hiện",derived,yes
DRAlert,node,"alertId,alertLevel,riskScore","Kết quả tổng hợp và chấm điểm theo khách hàng X",derived,yes
OWNS,relationship,none,"Khách hàng sở hữu tài khoản",yes,yes
BORROWER_OF,relationship,none,"Khách hàng vay của khoản vay",yes,yes
SENT,relationship,none,"Tài khoản nguồn gửi một DRTransfer",yes,yes
RECEIVED_BY,relationship,none,"DRTransfer vào tài khoản đích",yes,yes
MADE_REPAYMENT,relationship,none,"Khách hàng phát sinh sự kiện thu nợ",yes,yes
REPAID,relationship,none,"Sự kiện thu nợ áp vào khoản vay cũ",yes,yes
HAS_DISBURSEMENT,relationship,none,"Khoản vay mới có sự kiện giải ngân",yes,yes
PAID_TO,relationship,none,"Giải ngân tới tài khoản nhận",yes,yes
UNOBSERVED_PATH,relationship,"observedByBankA=false,confidence=HYPOTHESIS_ONLY","Vùng dòng tiền ngoài Bank A; chỉ là giả thuyết hiển thị",no,no

